Gene Symbol,Gene ID,Interaction Count,Organism Count
MAP6,4135,3,2
MAPKAPK3,7867,3,2
MAPRE1,22919,3,2
MARK1,4139,3,1
MATN3,4148,3,1
MCM2,4171,3,2
MDC1,9656,3,1
MDFI,4188,3,1
MDM4,4194,3,2
MEDAG,84935,3,1
MEF2A,4205,3,2
MELTF,4241,3,1
MEP1B,4225,3,1
MERTK,10461,3,1
MFAP3L,9848,3,1
MFSD2A,84879,3,2
MIR210,406992,3,2
MITF,4286,3,2
MKI67,4288,3,2
MMP10,4319,3,1
MNDA,4332,3,1
MRTO4,51154,3,2
MS4A6A,64231,3,1
MST1,4485,3,2
MT1A,4489,3,1
MT1X,4501,3,1
MTARC2,54996,3,1
MTF1,4520,3,2
MTSS1,9788,3,2
MTTP,4547,3,2
MTUS1,57509,3,1
MYH10,4628,3,1
MYH3,4621,3,2
MYL9,10398,3,2
MYLK,4638,3,2
MYO5C,55930,3,1
NABP1,64859,3,2
NACA,4666,3,2
NAPG,8774,3,2
NAV2,89797,3,2
NCKAP1L,3071,3,2
NDUFC2,4718,3,2
NEGR1,257194,3,1
NEXMIF,340533,3,2
NFKBIE,4794,3,2
NGF,4803,3,2
NINL,22981,3,1
NLRC4,58484,3,2
NME3,4832,3,2
NOD1,10392,3,1
NOL6,65083,3,2
NOMO1,23420,3,2
NOP2,4839,3,2
NOTCH1,4851,3,2
NPR1,4881,3,2
NPR2,4882,3,2
NPY,4852,3,2
NR2F6,2063,3,2
NR4A1,3164,3,3
NRAS,4893,3,2
NRCAM,4897,3,2
NRG2,9542,3,2
NRP2,8828,3,1
NSD2,7468,3,3
NT5E,4907,3,2
NTRK3,4916,3,2
NUB1,51667,3,1
NUDCD1,84955,3,1
NUDT7,283927,3,1
NUMA1,4926,3,2
NUP210,23225,3,1
NUP98,4928,3,1
OAS1,4938,3,1
OAS2,4939,3,1
OAS3,4940,3,1
OASL,8638,3,1
OBSL1,23363,3,2
OLFML2A,169611,3,2
ORAI2,80228,3,2
P2RY13,53829,3,1
P2RY2,5029,3,2
PAK1,5058,3,1
PAMR1,25891,3,1
PANK1,53354,3,2
PCGF5,84333,3,2
PCTP,58488,3,2
PDCD11,22984,3,3
PDE4DIP,9659,3,2
PDE9A,5152,3,1
PDIA4,9601,3,2
PDPN,10630,3,1
PEX11A,8800,3,2
PGD,5226,3,2
PGM5,5239,3,2
PHF1,5252,3,2
PHLDA1,22822,3,1
PIK3C2G,5288,3,2
PIM1,5292,3,1
PIR,8544,3,2
PLAAT3,11145,3,1
PLAAT4,5920,3,1
PLAT,5327,3,2
PLAU,5328,3,1
PLCB1,23236,3,3
PLCE1,51196,3,1
PLD3,23646,3,3
PLEKHH1,57475,3,2
PLEKHO1,51177,3,2
PLEKHO2,80301,3,2
PLIN2,123,3,1
PLK1,5347,3,2
PLPP4,196051,3,1
PNKD,25953,3,1
PNPLA7,375775,3,2
PON1,5444,3,3
PON3,5446,3,2
POSTN,10631,3,1
POU5F1,5460,3,1
PPBP,5473,3,1
PPFIA4,8497,3,2
PPM1H,57460,3,1
PPM1L,151742,3,2
PPP1R18,170954,3,2
PPP1R3C,5507,3,2
PPP1R9B,84687,3,2
PPRC1,23082,3,2
PRKCA,5578,3,1
PRKX,5613,3,1
PROCR,10544,3,2
PRSS2,5645,3,1
PRXL2C,195827,3,1
PSME4,23198,3,2
PTGR1,22949,3,2
PTP4A1,7803,3,2
PTPN22,26191,3,1
PTX3,5806,3,2
PVR,5817,3,2
PVT1,5820,3,1
PYROXD2,84795,3,2
R3HDM4,91300,3,2
RAB31,11031,3,2
RAB9B,51209,3,1
RAC2,5880,3,2
RAPGEF3,10411,3,2
RASGRP1,10125,3,1
RASSF4,83937,3,2
RBM24,221662,3,1
RBP1,5947,3,3
