Gene Symbol,Gene ID,Interaction Count,Organism Count
CERS6,253782,1,1
CES2C,234671,1,1
CFAP410,755,1,1
CFAP53,220136,1,1
CFAP96,441054,1,1
CFH,3075,1,1
CFHR2,3080,1,1
CGAS,115004,1,1
CHAMP1,283489,1,1
CHCHD10,400916,1,1
CHD2,1106,1,1
CHMP1B,57132,1,1
CHORDC1,26973,1,1
CHRNE,1145,1,1
CHST10,9486,1,1
CHSY1,22856,1,1
CHTOP,26097,1,1
CHUK,1147,1,1
CIC,23152,1,1
CIITA,4261,1,1
CITED2,10370,1,1
CKAP4,10970,1,1
CKLF,51192,1,1
CKMT1A,548596,1,1
CKS2,1164,1,1
CLASP1,23332,1,1
CLCN3,1182,1,1
CLDN15,24146,1,1
CLEC1A,51267,1,1
CLIC4,25932,1,1
CLIC6,54102,1,1
CLK1,1195,1,1
CLK3,1198,1,1
CLN6,54982,1,1
CLN8,2055,1,1
CLNS1A,1207,1,1
CLPS,1208,1,1
CLPTM1L,81037,1,1
CMAHP,8418,1,1
CNGB1,1258,1,1
CNGB3,54714,1,1
CNKSR3,154043,1,1
CNN3,1266,1,1
CNTN6,27255,1,1
COA1,55744,1,1
COCH,1690,1,1
COG1,9382,1,1
COL18A1,80781,1,1
COL1A2,1278,1,1
COL3A1,1281,1,1
COL4A3,1285,1,1
COL6A2,1292,1,1
COL8A1,1295,1,1
COMMD1,150684,1,1
COMP,1311,1,1
COPG1,22820,1,1
COQ10B,80219,1,1
COQ8A,56997,1,1
COX17,10063,1,1
COX6A2,1339,1,1
COX7A2L,9167,1,1
COX8A,1351,1,1
COX8B,12869,1,1
CPA1,1357,1,1
CPAP3-D2,100160268,1,1
CPN1,1369,1,1
CPQ,10404,1,1
CPS1,1373,1,1
CPT2,1376,1,1
CR1,1378,1,1
CREBBP,1387,1,1
CREBRF,153222,1,1
CREBZF,58487,1,1
CREM,1390,1,1
CRIPT,9419,1,1
CRISP1,167,1,1
CROCC,9696,1,1
CRTAC1A,559626,1,1
CRTAM,56253,1,1
CRYAB,1410,1,1
CRYGM3,493631,1,1
CRYZ,1429,1,1
CS,1431,1,1
CSF2,1437,1,1
CSF2RA,1438,1,1
CSF3,1440,1,1
CSHL1,1444,1,1
CSK,1445,1,0
CSN2,1447,1,1
CSNK1A1,1452,1,1
CSNK1D,1453,1,1
CSNK1G1,53944,1,1
CSRNP1,64651,1,1
CSRNP2,81566,1,1
CSRP2,1466,1,1
CTH,1491,1,1
CTL-2,175085,1,1
CTPS1A,322089,1,1
CTSE,1510,1,1
CTSH,1512,1,1
CTTN,2017,1,1
CUX1,1523,1,1
CUX1A,797445,1,1
CXADR,1525,1,1
CXCL11,6373,1,1
CXCL3,2921,1,1
CXCL6,6372,1,1
CXXC1,30827,1,1
CYB5A,1528,1,1
CYB5R3,1727,1,1
CYBB,1536,1,1
CYLD,1540,1,1
CYP1A2,1544,1,1
CYP24A1,1591,1,1
CYP26A1,1592,1,1
CYP27A1,1593,1,1
CYP27C1,339761,1,1
CYP-29A2,179550,1,1
CYP2B10,13088,1,1
CYP2C12,25011,1,1
CYP2C55,72082,1,1
CYP2D6,1565,1,1
CYP2F1,1572,1,1
CYP2R1,120227,1,1
CYP-34A9,181851,1,1
CYP-35A2,182177,1,1
CYP3A18,252931,1,1
CYP3A5,1577,1,1
CYP3A9,171352,1,1
CYP4F1,56266,1,1
CYP4F4,286904,1,1
CYRIA,81553,1,1
CYS1,192668,1,1
CYTH2,9266,1,1
DAD1,1603,1,1
DAF-16,172981,1,1
DAGLB,221955,1,1
DAZL,1618,1,1
DBT,1629,1,1
DCBLD2,131566,1,1
DCD,117159,1,1
DCK,1633,1,1
DCLK1,9201,1,1
DCP2,167227,1,1
DCTN1,1639,1,1
DCUN1D4,23142,1,1
DDAH1,23576,1,1
DDB2,1643,1,1
DDR2,4921,1,1
DDX10,1662,1,1
DDX17,10521,1,1
DDX18,8886,1,1
DDX3Y,8653,1,1
DDX6,1656,1,1
DEDD2,162989,1,1
DEFB3,27358,1,1
DENND2B,6764,1,1
DENND3,22898,1,1
DENND5A,23258,1,1
DENND5B,160518,1,1
DEPP1,11067,1,1
DEPTOR,64798,1,1
DFFB,1677,1,1
DHDH,27294,1,1
DHRS2,10202,1,1
DIAPH1,1729,1,1
DIO1,1733,1,1
DISP1,84976,1,1
DKK2,27123,1,1
DLGAP5,9787,1,1
DLL4,54567,1,1
DLX2,1746,1,1
DLX4A,30561,1,1
DLX5,1749,1,1
DLX5A,30569,1,1
DMAC2L,27109,1,1
DMBT1,1755,1,1
DNAJA1,3301,1,1
DNAJA4,55466,1,1
DNAJB1,3337,1,1
DNAJB2,3300,1,1
DNAJB4,11080,1,1
DNAJB6,10049,1,1
DNAJB9,4189,1,1
DNAJC25,548645,1,1
DOK1B,406361,1,1
DPP8,54878,1,1
DRC2,85478,1,1
DRD3,1814,1,1
DRD4,1815,1,1
DRICE,43514,1,1
DRONC,39173,1,1
DRP2,1821,1,1
DSG2,1829,1,1
DSH,32078,1,1
DSP,1832,1,1
DUSP10,11221,1,1
DUSP16,80824,1,1
